,Agriculture,Forestry,Fishery,Mining of Oil and Gas,Remainder Mining of Resources (No Oil and Gas),Supporting Activities of Resource Mining,Food supplement Industry,Beverage Industry,Tobacco Industry,"Textile, Clothing and Leather Industry",Wood Industry,Paper Industry,Graphical Industry,Oil Industry,Chemical Industry,Pharmaceutical Industry,Rubber and Plastic Industry,Building Material Industry,Raw Metal Industry,Metal Product Industry,Electrotechnical Industry,Electrical Device Industry,Machine Industry,Car Industry,Remainder Transport Devices Industry,Furniture Industry,Remainder of Industry,Reparation and Installation of Machines,Energy Companies,Water Pipe Company ,"Sewerage, Waste, Sanitation",General Building and Project Development,"Ground, Water and Road Building",Specialized Building,Car sales and reparation,Wholesale,Retail - not cars,Transport over land,Transport over water,Transport through air,"Storage, Services, and Transport",Post and couriers,Lodging,Restaurants and Bars,Publishers,"Production of Movies, TV, Radio, Music",Broadcasting radio and television,Telecommunication,IT-services,Services in the area of information,Banking Sector,Insurers and Pension Funds,Remainder of Financial Services,Rental value property ownership,Exploitation real estate,Legal services and administration,Holdings and management advice companies,Architects and Engineering Companies,Research,Advertising and market research,"Design, Photography, Translation Companies",Veterinary Services,Rental of Movable Property,Employment Agency and Labor Mediation,Travelling Agencies,Security and Search Services,Cleaning Companies,Remaining Business Services,Public Governance and Government Services,Education,Healthcare,Caretaking and Wellbeing,"Creative Services, Art and Amusement","Libraries, Archives, Museums",Lotteries and Other Chance Games,Sport and Recreation,Idealistic and Hobby Associations ,Repairing of Consumer Articles,Remainder of Personal Service Provision,Households with personnel
Wood Industry,25.999999999999993,0.0,0.0,0.0,1.0,0.0,52.03636363636364,51.765,0.0,19.11176470588235,151.00636597589056,14.998958333333334,0.8888888888888888,2.0,38.12121212121213,7.875,29.16,27.119230353475295,0.0,36.966023875114786,6.0,2.0,14.609375,0.0,1.0,33.970588235294116,18.409090909090907,0.0,1.4999999999999998,0.0,0.0,836.1125478876936,48.40425531914894,167.2058175045535,0.0,20.751879699248118,47.0204081632653,7.5,0.0,0.0,36.66179401993356,0.0,10.607142857142858,2.0,1.0,2.0,0.0,1.0,0.0,,3.0,2.9999999999999996,2.0,78.24657695322708,178.85888962981056,2.0,8.88888888888889,0.0,5.359375000000001,6.999999999999999,1.4999999999999998,1.0,1.0,1.0,0.0,2.0,0.0,138.84903961584635,14.166666666666666,4.0,0.0,0.0,1.5,2.0,0.0,0.0,0.0,0.0,65.69230769230768,0.0
Paper Industry,11.0,0.0,1.3333333333333333,8.0,0.0,2.0,537.6959810116921,137.1214205816555,9.142857142857142,14.0,2.0,778.1327901580961,88.44602316602318,2.0,50.125313283208015,37.25806451612904,73.47659699735061,32.05714285714286,19.09090909090909,39.900000000000006,18.808888888888884,3.0,97.46429612357915,2.0,5.333333333333333,26.120279720279722,21.994875000000004,4.0,1.3333333333333333,4.0,2.777777777777778,11.0,2.0,24.761904761904763,7.5,35.31531531531531,39.0527027027027,4.285714285714286,11.571428571428573,5.0,12.000000000000002,0.0,5.0,21.176470588235293,86.78930700447093,3.0,2.0,6.0,14.0,6.249999999999999,5.25,4.285714285714286,4.0,inf,19.904761904761905,13.090909090909092,13.0,5.0,6.999999999999999,12.071428571428571,7.291666666666668,0.0,5.0,6.999999999999999,0.0,inf,67.1311475409836,168.25000468178823,34.15384615384615,27.04748635783118,66.37577639751554,54.210693699065786,9.9,3.0,,2.0,8.018999999999998,14.999999999999998,5.0,0.0
Graphical Industry,9.0,0.0,0.0,0.0,2.0,1.0,73.57777777777777,42.900000000000006,1.0,3.0,3.0,18.93425605536332,61.09213917525775,1.0,41.8836565096953,0.0,16.0,6.222222222222223,16.0,14.0,25.19047619047619,15.811764705882352,20.734126984126984,15.0,2.25,1.0,8.0,8.0,4.999999999999999,1.0,6.222222222222223,20.0,13.0,35.285714285714285,66.92165680473373,218.3106304906255,118.9008512089605,20.899038461538463,10.889999999999999,7.5,8.402777777777779,4.0,38.14551083591331,63.030303030303024,475.6592210448559,26.939814814814813,10.0,77.83231901171769,105.07075471698113,22.293859649122805,135.8953143368037,31.598746081504704,36.09374999999999,0.0,28.68965517241379,37.89473684210527,176.22325855056152,12.781512605042018,13.0,201.52237120677486,10.90909090909091,4.0,22.20137299771167,27.83273596176822,70.89541245791244,0.5,8.25,22.96597633136095,58.70028803351664,55.83835799633689,30.11764705882353,39.02212138400455,17.052631578947366,12.932773109243698,6.25,7.0,9.777777777777779,1.0,4.0,0.0
Oil Industry,103.78143969916736,inf,25.23529411764706,5.714285714285714,6.749999999999999,1.5,31.52173913043478,7.0,0.0,2.0,2.6666666666666665,0.0,3.0,1154.272688204659,1100.4243609020207,14.933333333333335,inf,12.727272727272727,13.5,7.777777777777779,1.0,5.714285714285714,6.666666666666667,0.0,8.228571428571428,4.799999999999999,2.25,5.185185185185184,71.28174603174602,1.0,6.666666666666667,32.17204301075269,113.48425697499938,79.24732730263158,19.8743961352657,161.94415166253097,43.57894736842104,214.69437298211452,249.18563494694962,897.7026886587778,66.67238421955403,3.2,4.0,6.86226851851852,0.0,1.3333333333333333,inf,4.0,17.038636363636364,2.0,21.185185185185183,24.55384615384616,13.176470588235295,0.0,20.7,11.458333333333332,42.5451683639837,25.475806451612904,1.0,10.636363636363637,3.0,0.0,88.36908689686027,20.4,1.0,0.0,14.580896686159845,1.8749999999999996,38.74621461487821,57.069624200842036,9.0,5.909090909090909,4.571428571428571,5.333333333333333,,23.78653846153847,13.421052631578947,6.0,10.519480519480519,0.0
Chemical Industry,318.77719756720785,0.0,0.0,3.3333333333333335,16.0,0.0,141.536690647482,11.916666666666666,107.65033740769034,76.05145421677497,18.571428571428573,231.779182977015,77.12910618792972,313.02149361875956,9320.820593807399,70.82770525407273,1040.129745466278,54.57788347205708,48.85787234042553,84.3718309859155,39.09365853658537,62.219112355057995,41.13815789473684,63.21126760563381,33.0,263.1806742356796,105.0969318490361,29.405405405405407,9.0,35.11416909620992,10.0,107.99331683168319,25.426470588235293,306.00221637457906,4.25,193.9402740863788,0.0,2.9333333333333336,3.0,0.0,0.0,,3.0,6.666666666666667,25.037037037037035,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.666666666666666,66.0655737704918,0.0,7.5,6.666666666666666,178.7992844364937,6.428571428571428,2.25,0.0,0.0,0.0,0.0,0.0,46.1659272404614,0.0,30.090666666666667,37.84552845528455,17.61214630779848,6.17142857142857,6.222222222222222,4.266666666666667,2.0,2.8125,0.0,5.12,13.541666666666664,0.0
Pharmaceutical Industry,22.32249134948097,0.0,0.0,0.0,0.0,0.0,2.333333333333334,26.0,1.7142857142857142,1.7777777777777777,0.0,3.0,0.0,0.0,84.00786112020964,110.13726900757709,4.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,2.7428571428571424,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,21.599999999999998,0.0,14.700000000000003,27.3201581027668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.818181818181817,0.0,4.375000000000001,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.40259740259742,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rubber and Plastic Industry,36.25450689289502,0.0,0.0,10.499999999999998,0.5,9.0,261.1652587600256,36.73003095975233,7.333333333333334,4.666666666666667,56.04521072796935,156.74147225800297,9.719999999999999,4.8,152.24203821656047,20.49019607843137,224.56062992125985,216.4658481647156,30.45,90.99032840897013,9.818181818181817,32.94117647058824,113.87068965517244,144.1030558935089,34.885714285714286,51.5820895522388,55.05909264201296,28.0,7.499999999999999,0.0,5.833333333333334,181.88320920785375,55.22182377049181,400.45275436209306,5.5,42.90449646971386,20.30246913580247,13.65,2.0,4.0,10.769230769230768,0.0,6.25,11.11111111111111,29.032258064516125,3.75,1.0,5.0,9.0,0.0,1.3333333333333333,3.75,4.0,32.9375,88.81141846659085,13.200000000000001,25.82068965517241,1.0,14.181818181818183,2.25,6.857142857142857,0.0,0.0,3.2,0.0,0.0,24.126984126984123,11.76388888888889,6.0,10.0,13.0,42.10526315789474,4.0,6.666666666666666,0.0,4.0,5.0,29.837499999999995,10.90909090909091,0.0
Building Material Industry,7.0,0.0,0.0,0.0,0.0,0.0,41.065432098765434,99.48159999999999,5.0,0.0,,2.0,0.0,0.0,8.0,15.166666666666666,6.0,280.1054861734634,6.0,22.0,14.0,8.166666666666666,8.859375,,0.0,2.0,26.19047619047619,0.0,7.619047619047619,0.0,12.0,2174.0231777253284,527.7788143062392,812.1146161519622,5.0,29.04040404040404,0.0,0.0,0.0,0.0,0.0,0.0,4.5,10.909090909090908,0.0,0.8888888888888888,3.0,0.0,0.0,0.0,0.0,0.0,0.0,68.20026399829678,116.05664954414652,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.54007739082367,0.0,25.999999999999996,22.878947368421052,22.619047619047617,0.0,7.0,0.75,,6.25,0.0,0.0,16.363636363636363,0.0
Raw Metal Industry,2.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,35.87432950191571,0.0,5.0,24.959999999999997,25.063938618925828,1279.1174595492328,19.894736842105264,17.0,232.71650319505923,83.9003250270856,3.6499999999999995,12.857142857142858,4.6875,10.214285714285715,52.50000000000001,0.0,19.91023778576344,158.49727101488742,265.7669199142797,166.4402365636024,46.6639534883721,12.959999999999999,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.68767605633803,0.0,8.166666666666666,5.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0
Metal Product Industry,27.034482758620687,2.0,0.0,7.875,6.0,3.333333333333333,293.4816342535617,40.05551020408163,3.3749999999999996,2.6666666666666665,49.50107424206254,5.0,2.0,1.0,105.92659279778393,4.0,19.199999999999996,10.0,27.0,3216.2661191903376,33.03191489361702,2.0,1923.3465258067747,428.22701291369697,411.43787895381365,24.20689655172414,15.545454545454545,1476.8232632532593,42.73255813953489,4.0,130.56765473672618,1782.1350578841664,691.7858988556665,1484.1919881500082,30.0,338.64438262285626,3.3333333333333335,12.187500000000002,1.0,0.0,6.300000000000001,0.0,3.0,1.0,10.694444444444443,1.0,0.0,,4.285714285714286,14.0,0.0,0.0,0.0,6.0,72.36144578313252,6.857142857142857,49.88235294117647,319.44410666413455,0.0,1.6666666666666667,1.0,1.0,1.0,2.0,0.0,0.0,18.724458204334365,1.0,234.53283882078588,13.222222222222221,17.229545454545455,17.944444444444443,1.0,,4.499999999999999,0.0,0.0,0.0,9.0,0.0
Electrotechnical Industry,4.0,0.0,0.0,6.0,2.0,0.0,13.658368676624255,2.0,7.875,1.0,0.0,3.0,2.0,5.0,12.551724137931034,2.0,3.0,8.0,25.469387755102037,21.0,140.74091994270256,36.47881773399015,60.18496961944357,14.769230769230772,71.86535764375877,3.0,8.1,21.224489795918366,8.25,0.0,11.0,64.51452009844135,5.0,36.3772972972973,9.0,35.334339622641515,20.68965517241379,9.450000000000001,1.0,0.0,18.418290854572714,2.0,5.333333333333333,9.0,0.0,2.6666666666666665,0.5,90.87963649331007,22.905219780219777,0.0,1.4999999999999998,1.0,7.2,0.0,5.333333333333333,12.0,98.15856777493606,2.0,3.0,0.0,4.5,0.0,0.0,0.0,0.0,16.95848595848596,0.0,5.0,12.0,11.822222222222223,393.43108504398833,11.020408163265305,0.0,0.0,0.0,1.4999999999999998,0.0,3.75,1.0,0.0
Electrical Device Industry,4.0,0.0,0.0,2.4000000000000004,3.75,8.115942028985506,8.333333333333334,5.0,14.0625,0.0,0.0,2.0,2.9999999999999996,1.0,8.91,3.0,7.0,2.9999999999999996,8.166666666666666,25.42105263157895,20.1875,77.34333275533207,30.11538461538462,58.957184325108855,69.0,0.0,2.333333333333333,102.24541429475015,2.0,0.0,6.857142857142857,140.0353982300885,11.0,143.3292883765277,0.0,52.9811320754717,24.0,11.0,3.0,0.0,21.945,0.0,5.833333333333334,12.1,0.0,0.0,0.0,44.34810810810811,14.933333333333334,0.0,6.222222222222223,4.0,0.0,2.0,32.17226528854436,16.153846153846153,345.08542119927705,156.7303350648468,7.875,0.0,5.0,0.0,0.0,1.0,0.0,2.0,5.0,2.0,13.0,10.15873015873016,9.75,5.485714285714285,0.0,0.0,0.0,12.909722222222223,0.0,2.0,3.0,0.0
Machine Industry,271.8075539568345,13.333333333333332,4.0,21.0,13.0,7.157894736842105,153.06666666666666,15.058823529411764,4.0,9.9,26.88,32.86666666666667,10.0,39.0,164.23782359370554,26.444444444444443,66.75675675675677,41.77142857142857,133.90243902439028,246.29535970544907,140.05303030303034,33.970588235294116,2022.7111252294987,84.950733383984,139.88976377952758,14.0625,8.821428571428571,222.7509985042087,74.91967871485943,4.8,60.91228070175439,298.05975856366854,55.0,251.6485897922411,100.46294736842104,254.88188976377958,138.68807900347886,37.97271442799897,13.125000000000002,0.0,63.19501133786848,4.0,11.0,10.0,16.790123456790123,0.0,0.0,25.240384615384617,0.0,0.0,2.0,0.0,0.0,0.0,23.91304347826087,0.0,41.05263157894737,101.0,10.0,4.0,6.481481481481482,0.0,87.09609158186866,5.0,6.0,0.0,18.88888888888889,7.0,113.13341204250295,6.0,11.0,5.0,2.6666666666666665,,0.0,3.0,0.0,0.0,6.890625000000001,0.0
Car Industry,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,2.0,1530.5762281805878,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,3.0,325.9166779420526,28.344988344988344,4.0,9.333333333333332,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.999999999999999,0.0,0.0,1.0,0.0,0.0,0.0,3.0,5.625,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Remainder Transport Devices Industry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.333333333333333,0.0,30.77551020408163,0.0,2.0,0.0,431.84904737364917,0.0,0.0,33.765120967741936,0.0,0.0,0.0,0.0,1.0,4.0,6.0,9.333333333333334,11.428571428571429,56.01720430107526,11.555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.72727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.839999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
Furniture Industry,5.0,0.0,0.0,1.0,0.0,1.4999999999999998,6.095238095238095,2.0,0.0,0.0,24.750000000000004,1.0,0.0,0.0,3.3333333333333335,1.0,1.0,3.0,2.0,2.0,1.0,1.0,4.0,13.199999999999998,17.0,121.97541497707519,6.25,10.214285714285715,0.0,0.0,0.0,53.03105962249075,0.0,3.0,6.0,36.62272089761571,61.941301775147934,7.0,6.0,1.0,4.0,0.0,12.727272727272727,20.061919504643964,0.0,1.0,3.0,,1.0,0.0,0.0,0.0,0.0,17.0,0.5,2.0,0.0,0.0,0.0,1.0,0.5,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,,2.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0
Remainder of Industry,62.43243243243244,20.289855072463766,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,3.0,4.166666666666667,3.0,0.0,3.5555555555555554,0.0,0.0,0.0,0.0,5.833333333333333,3.0,4.0,12.071428571428571,2.0,6.0,3.749999999999999,171.20604656688047,5.0,0.0,0.0,6.222222222222222,12.923076923076923,7.000000000000001,16.08205128205128,3.0,56.161764705882355,19.047619047619047,3.0,0.0,0.0,5.1428571428571415,4.0,8.8,9.692307692307692,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,23.039999999999996,0.0,2.4,0.0,4.8,8.0,3.0,0.0,0.0,13.125,0.0,6.999999999999999,13.28125,11.076923076923078,229.24029629486094,28.418803418803424,11.076923076923078,18.0,7.0,6.0,0.0,11.0,0.0,0.0,6.015625,0.0
Reparation and Installation of Machines,335.54734875452715,9.696969696969697,8.1,112.03828530699522,19.0,13.318627450980392,302.0519929391389,34.0,2.0,8.0,11.0,68.62745098039215,24.0,74.71186440677967,335.3415848893809,34.0,53.63809523809525,76.78125,333.3522435538987,151.90476190476187,32.91428571428571,52.891181087228105,401.508319226372,25.0,841.443356815393,9.0,5.90625,296.8757292324171,144.77272727272728,6.0,119.62971428571427,139.64843750000003,113.7894736842105,308.8283627583404,0.0,268.0801806199658,174.39258830341635,94.95440126883426,87.87341772151899,947.6280902547268,120.58356492794431,1.0,41.02564102564103,122.78761061946904,4.0,0.0,0.0,26.20588235294118,121.68603904177718,13.0,5.0,4.0,8.0,0.0,91.0,28.695652173913043,205.80320550351294,66.0,23.999999999999996,9.0,3.0,1.0,133.85057471264366,9.0,0.0,35.911764705882355,32.0,14.933333333333334,281.33033258314583,5.0,15.0,8.0,1.0,1.0,1.0,3.0,0.0,3.0,18.823529411764703,0.0
