,Agriculture,Forestry,Fishery,Mining of Oil and Gas,Remainder Mining of Resources (No Oil and Gas),Supporting Activities of Resource Mining,Food supplement Industry,Beverage Industry,Tobacco Industry,"Textile, Clothing and Leather Industry",Wood Industry,Paper Industry,Graphical Industry,Oil Industry,Chemical Industry,Pharmaceutical Industry,Rubber and Plastic Industry,Building Material Industry,Raw Metal Industry,Metal Product Industry,Electrotechnical Industry,Electrical Device Industry,Machine Industry,Car Industry,Remainder Transport Devices Industry,Furniture Industry,Remainder of Industry,Reparation and Installation of Machines,Energy Companies,Water Pipe Company ,"Sewerage, Waste, Sanitation",General Building and Project Development,"Ground, Water and Road Building",Specialized Building,Car sales and reparation,Wholesale,Retail - not cars,Transport over land,Transport over water,Transport through air,"Storage, Services, and Transport",Post and couriers,Lodging,Restaurants and Bars,Publishers,"Production of Movies, TV, Radio, Music",Broadcasting radio and television,Telecommunication,IT-services,Services in the area of information,Banking Sector,Insurers and Pension Funds,Remainder of Financial Services,Rental value property ownership,Exploitation real estate,Legal services and administration,Holdings and management advice companies,Architects and Engineering Companies,Research,Advertising and market research,"Design, Photography, Translation Companies",Veterinary Services,Rental of Movable Property,Employment Agency and Labor Mediation,Travelling Agencies,Security and Search Services,Cleaning Companies,Remaining Business Services,Public Governance and Government Services,Education,Healthcare,Caretaking and Wellbeing,"Creative Services, Art and Amusement","Libraries, Archives, Museums",Lotteries and Other Chance Games,Sport and Recreation,Idealistic and Hobby Associations ,Repairing of Consumer Articles,Remainder of Personal Service Provision,Households with personnel
Wood Industry,25.0,0.0,0.0,0.0,1.0,0.0,52.0,50.0,1.0,18.0,107.0,12.0,2.0,2.0,33.0,5.0,29.0,29.0,0.0,33.0,5.0,1.0,12.0,0.0,1.0,27.0,27.0,0.0,2.0,0.0,0.0,800.0,36.0,137.0,0.0,19.0,50.0,8.0,0.0,0.0,41.0,0.0,8.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,86.0,191.0,2.0,3.0,0.0,8.0,7.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,136.0,16.0,4.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,64.0,0.0
Paper Industry,10.0,0.0,2.0,7.0,0.0,4.0,537.0,135.0,10.0,13.0,2.0,862.0,111.0,2.0,42.0,31.0,79.0,26.0,22.0,36.0,25.0,3.0,81.0,3.0,3.0,26.0,20.0,3.0,3.0,2.0,4.0,9.0,2.0,18.0,5.0,30.0,37.0,6.0,8.0,4.0,11.0,0.0,4.0,21.0,109.0,3.0,2.0,6.0,11.0,3.0,7.0,6.0,4.0,1.0,21.0,10.0,12.0,4.0,6.0,14.0,6.0,0.0,6.0,6.0,1.0,1.0,61.0,164.0,34.0,29.0,63.0,45.0,10.0,3.0,0.0,3.0,10.0,7.0,4.0,0.0
Graphical Industry,10.0,0.0,0.0,0.0,1.0,1.0,80.0,40.0,1.0,2.0,4.0,17.0,84.0,0.0,37.0,0.0,17.0,8.0,15.0,12.0,23.0,15.0,23.0,13.0,4.0,1.0,9.0,9.0,6.0,1.0,8.0,19.0,12.0,37.0,64.0,232.0,124.0,25.0,10.0,4.0,12.0,5.0,34.0,66.0,514.0,21.0,9.0,109.0,108.0,19.0,141.0,29.0,34.0,0.0,29.0,38.0,194.0,14.0,13.0,218.0,9.0,2.0,19.0,26.0,66.0,2.0,10.0,25.0,60.0,55.0,34.0,41.0,19.0,17.0,4.0,7.0,9.0,1.0,3.0,0.0
Oil Industry,102.0,1.0,17.0,7.0,1.0,4.0,26.0,5.0,0.0,0.0,3.0,0.0,2.0,1034.0,1318.0,13.0,2.0,9.0,10.0,7.0,0.0,7.0,3.0,0.0,7.0,5.0,4.0,8.0,59.0,0.0,9.0,31.0,98.0,76.0,18.0,155.0,43.0,190.0,232.0,533.0,53.0,6.0,2.0,9.0,0.0,2.0,1.0,1.0,16.0,1.0,24.0,20.0,11.0,0.0,24.0,9.0,41.0,24.0,1.0,11.0,2.0,1.0,74.0,20.0,1.0,0.0,12.0,2.0,31.0,53.0,7.0,11.0,7.0,3.0,0.0,26.0,16.0,3.0,11.0,0.0
Chemical Industry,230.0,0.0,0.0,5.0,15.0,0.0,139.0,11.0,88.0,65.0,14.0,216.0,67.0,276.0,9393.0,62.0,1089.0,54.0,50.0,70.0,41.0,40.0,39.0,46.0,26.0,290.0,127.0,35.0,8.0,35.0,9.0,80.0,17.0,241.0,8.0,210.0,1.0,5.0,4.0,0.0,1.0,0.0,2.0,6.0,24.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,64.0,0.0,6.0,4.0,155.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,25.0,36.0,23.0,7.0,7.0,5.0,1.0,3.0,0.0,5.0,20.0,0.0
Pharmaceutical Industry,25.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,5.0,2.0,0.0,4.0,1.0,0.0,71.0,158.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,8.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,228.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rubber and Plastic Industry,41.0,0.0,0.0,6.0,1.0,10.0,271.0,38.0,11.0,8.0,116.0,137.0,9.0,5.0,152.0,18.0,260.0,158.0,20.0,97.0,11.0,37.0,116.0,163.0,35.0,67.0,86.0,23.0,3.0,0.0,7.0,194.0,61.0,479.0,9.0,46.0,25.0,16.0,2.0,4.0,12.0,1.0,4.0,11.0,28.0,4.0,1.0,7.0,10.0,1.0,3.0,3.0,3.0,35.0,89.0,10.0,28.0,1.0,11.0,2.0,6.0,0.0,0.0,4.0,0.0,0.0,21.0,13.0,6.0,12.0,14.0,38.0,5.0,3.0,0.0,4.0,6.0,30.0,11.0,0.0
Building Material Industry,9.0,0.0,0.0,0.0,0.0,0.0,30.0,75.0,5.0,0.0,1.0,2.0,0.0,0.0,10.0,7.0,6.0,244.0,8.0,24.0,20.0,5.0,8.0,0.0,0.0,3.0,21.0,1.0,7.0,0.0,7.0,1858.0,448.0,714.0,3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,103.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,23.0,20.0,14.0,0.0,8.0,2.0,0.0,4.0,0.0,0.0,13.0,0.0
Raw Metal Industry,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,29.0,0.0,5.0,21.0,23.0,1243.0,14.0,14.0,188.0,84.0,78.0,17.0,4.0,13.0,71.0,0.0,41.0,108.0,229.0,122.0,48.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Metal Product Industry,35.0,2.0,0.0,12.0,7.0,6.0,339.0,60.0,4.0,3.0,71.0,5.0,3.0,2.0,113.0,4.0,25.0,11.0,33.0,3280.0,48.0,5.0,1624.0,383.0,397.0,30.0,22.0,1466.0,47.0,1.0,137.0,1806.0,640.0,1503.0,30.0,334.0,6.0,16.0,2.0,0.0,8.0,0.0,3.0,2.0,12.0,1.0,0.0,2.0,6.0,5.0,0.0,0.0,0.0,6.0,83.0,7.0,54.0,315.0,0.0,6.0,1.0,1.0,2.0,2.0,0.0,0.0,17.0,1.0,251.0,18.0,22.0,17.0,2.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0
Electrotechnical Industry,7.0,0.0,0.0,11.0,3.0,2.0,29.0,3.0,8.0,2.0,1.0,4.0,3.0,6.0,27.0,3.0,4.0,11.0,49.0,20.0,160.0,29.0,59.0,13.0,46.0,4.0,10.0,21.0,12.0,0.0,13.0,53.0,6.0,48.0,7.0,50.0,23.0,11.0,2.0,0.0,29.0,2.0,8.0,11.0,1.0,3.0,2.0,212.0,25.0,0.0,3.0,2.0,10.0,1.0,9.0,16.0,153.0,3.0,4.0,1.0,4.0,0.0,1.0,0.0,0.0,37.0,1.0,6.0,21.0,13.0,344.0,7.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,0.0
Electrical Device Industry,5.0,0.0,0.0,4.0,4.0,9.0,12.0,5.0,16.0,0.0,0.0,2.0,2.0,1.0,10.0,2.0,8.0,2.0,6.0,19.0,16.0,79.0,27.0,52.0,42.0,0.0,3.0,62.0,2.0,0.0,7.0,113.0,9.0,139.0,0.0,44.0,20.0,9.0,2.0,0.0,20.0,0.0,7.0,11.0,0.0,0.0,0.0,45.0,15.0,0.0,9.0,4.0,0.0,2.0,29.0,14.0,439.0,143.0,8.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,4.0,2.0,12.0,8.0,11.0,5.0,0.0,0.0,0.0,12.0,0.0,3.0,2.0,0.0
Machine Industry,278.0,9.0,4.0,20.0,10.0,8.0,143.0,15.0,2.0,10.0,27.0,29.0,10.0,30.0,162.0,25.0,64.0,35.0,120.0,265.0,132.0,30.0,1820.0,188.0,115.0,16.0,14.0,217.0,72.0,5.0,57.0,293.0,48.0,241.0,125.0,255.0,125.0,41.0,15.0,0.0,56.0,3.0,9.0,9.0,18.0,0.0,0.0,33.0,0.0,0.0,2.0,0.0,0.0,0.0,23.0,0.0,43.0,94.0,10.0,4.0,7.0,0.0,94.0,5.0,4.0,0.0,18.0,5.0,103.0,7.0,10.0,4.0,3.0,0.0,0.0,3.0,0.0,0.0,8.0,0.0
Car Industry,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,1335.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,3.0,293.0,39.0,3.0,8.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Remainder Transport Devices Industry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,21.0,0.0,1.0,0.0,342.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,2.0,3.0,9.0,15.0,5.0,35.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Furniture Industry,5.0,0.0,0.0,2.0,0.0,2.0,7.0,3.0,0.0,0.0,33.0,1.0,0.0,0.0,5.0,0.0,1.0,3.0,3.0,2.0,1.0,2.0,3.0,11.0,14.0,138.0,6.0,14.0,2.0,0.0,2.0,57.0,0.0,3.0,3.0,31.0,65.0,7.0,2.0,1.0,6.0,0.0,10.0,17.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,17.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,4.0,6.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0
Remainder of Industry,72.0,18.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,9.0,4.0,6.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,4.0,5.0,14.0,2.0,5.0,4.0,184.0,7.0,0.0,0.0,7.0,13.0,9.0,13.0,3.0,69.0,21.0,3.0,0.0,0.0,7.0,4.0,10.0,16.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,6.0,25.0,0.0,4.0,0.0,5.0,9.0,2.0,0.0,0.0,17.0,0.0,6.0,17.0,13.0,266.0,36.0,13.0,19.0,7.0,7.0,0.0,12.0,0.0,0.0,8.0,0.0
Reparation and Installation of Machines,337.0,9.0,8.0,115.0,15.0,18.0,285.0,30.0,2.0,8.0,10.0,59.0,24.0,59.0,331.0,28.0,49.0,64.0,296.0,165.0,35.0,62.0,394.0,16.0,718.0,8.0,8.0,341.0,132.0,6.0,105.0,128.0,96.0,269.0,0.0,241.0,157.0,102.0,79.0,883.0,103.0,1.0,33.0,114.0,5.0,0.0,0.0,34.0,104.0,8.0,4.0,4.0,6.0,0.0,77.0,24.0,196.0,57.0,23.0,8.0,3.0,1.0,138.0,8.0,0.0,33.0,28.0,11.0,258.0,5.0,13.0,7.0,1.0,1.0,1.0,3.0,0.0,4.0,17.0,0.0
Energy Companies,273.0,3.0,3.0,1036.0,22.0,7.0,211.0,10.0,151.0,12.0,9.0,46.0,13.0,116.0,665.0,9.0,75.0,66.0,170.0,100.0,15.0,28.0,64.0,20.0,14.0,26.0,21.0,22.0,1959.0,33.0,79.0,24.0,14.0,34.0,93.0,359.0,495.0,125.0,6.0,4.0,105.0,9.0,91.0,182.0,9.0,11.0,3.0,72.0,43.0,19.0,29.0,24.0,15.0,55.0,153.0,37.0,52.0,26.0,22.0,15.0,10.0,4.0,14.0,12.0,9.0,1.0,21.0,26.0,224.0,147.0,104.0,130.0,49.0,36.0,43.0,111.0,74.0,5.0,57.0,0.0
Water Pipe Company ,37.0,0.0,0.0,3.0,12.0,22.0,71.0,5.0,17.0,0.0,3.0,1.0,1.0,8.0,36.0,9.0,8.0,6.0,43.0,6.0,3.0,1.0,5.0,3.0,0.0,1.0,3.0,4.0,13.0,11.0,26.0,3.0,2.0,9.0,4.0,17.0,11.0,4.0,1.0,0.0,2.0,1.0,21.0,8.0,2.0,1.0,0.0,1.0,1.0,2.0,7.0,7.0,5.0,0.0,12.0,7.0,19.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,38.0,13.0,19.0,22.0,7.0,1.0,0.0,13.0,8.0,1.0,9.0,0.0
"Sewerage, Waste, Sanitation",382.0,0.0,2.0,5.0,11.0,1.0,206.0,7.0,5.0,2.0,1.0,29.0,9.0,12.0,292.0,2.0,135.0,123.0,630.0,253.0,19.0,22.0,23.0,5.0,2.0,3.0,3.0,6.0,20.0,2.0,1967.0,99.0,125.0,98.0,15.0,150.0,42.0,10.0,3.0,1.0,14.0,9.0,20.0,24.0,2.0,4.0,2.0,19.0,16.0,1.0,12.0,17.0,23.0,2.0,46.0,15.0,199.0,10.0,9.0,4.0,2.0,0.0,3.0,6.0,3.0,0.0,3.0,9.0,986.0,48.0,108.0,56.0,8.0,9.0,4.0,32.0,10.0,0.0,3.0,0.0
General Building and Project Development,117.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,9.0,0.0,0.0,11.0,1.0,2.0,0.0,2.0,12.0,11.0,13.0,9.0,4091.0,758.0,506.0,6.0,88.0,22.0,7.0,1.0,2.0,70.0,2.0,13.0,13.0,0.0,1.0,0.0,44.0,7.0,0.0,4.0,4.0,3.0,2373.0,1831.0,24.0,230.0,414.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,270.0,308.0,91.0,172.0,4.0,1.0,7.0,26.0,13.0,0.0,3.0,0.0
"Ground, Water and Road Building",6.0,6.0,1.0,1.0,4.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,3.0,0.0,0.0,24.0,0.0,0.0,14.0,3.0,4.0,10.0,3.0,14.0,915.0,36.0,4.0,1324.0,992.0,807.0,3.0,90.0,14.0,49.0,0.0,0.0,410.0,0.0,8.0,20.0,0.0,0.0,1.0,238.0,0.0,0.0,0.0,0.0,0.0,28.0,56.0,0.0,6.0,137.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1755.0,12.0,3.0,25.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0
Specialized Building,237.0,4.0,1.0,8.0,1.0,1.0,72.0,6.0,1.0,7.0,4.0,13.0,9.0,6.0,101.0,12.0,14.0,9.0,37.0,33.0,5.0,1.0,28.0,10.0,28.0,3.0,10.0,12.0,47.0,11.0,30.0,9332.0,3626.0,4967.0,19.0,140.0,122.0,56.0,14.0,12.0,205.0,6.0,27.0,39.0,3.0,4.0,1.0,280.0,28.0,1.0,16.0,18.0,12.0,3152.0,2575.0,15.0,270.0,93.0,32.0,9.0,4.0,1.0,24.0,14.0,0.0,3.0,23.0,10.0,739.0,415.0,141.0,249.0,22.0,6.0,20.0,60.0,27.0,2.0,13.0,0.0
Car sales and reparation,68.0,5.0,0.0,7.0,3.0,4.0,81.0,5.0,0.0,6.0,9.0,4.0,7.0,2.0,21.0,2.0,9.0,19.0,11.0,44.0,5.0,7.0,30.0,42.0,5.0,18.0,13.0,24.0,3.0,4.0,104.0,70.0,42.0,192.0,2704.0,439.0,127.0,719.0,0.0,0.0,75.0,38.0,5.0,32.0,7.0,9.0,2.0,39.0,50.0,8.0,48.0,54.0,37.0,0.0,54.0,50.0,261.0,55.0,7.0,34.0,21.0,2.0,1170.0,21.0,3.0,21.0,70.0,13.0,122.0,91.0,71.0,55.0,25.0,13.0,3.0,41.0,38.0,4.0,13.0,0.0
Wholesale,246.0,6.0,3.0,24.0,12.0,14.0,677.0,85.0,16.0,33.0,27.0,219.0,55.0,52.0,498.0,51.0,125.0,76.0,435.0,142.0,81.0,142.0,378.0,79.0,46.0,27.0,33.0,52.0,117.0,5.0,337.0,152.0,74.0,215.0,71.0,3561.0,587.0,99.0,34.0,28.0,142.0,55.0,48.0,111.0,76.0,29.0,10.0,141.0,634.0,114.0,19.0,27.0,40.0,0.0,114.0,144.0,524.0,183.0,34.0,52.0,57.0,2.0,140.0,63.0,30.0,8.0,41.0,38.0,231.0,31.0,57.0,62.0,17.0,12.0,5.0,21.0,23.0,9.0,18.0,0.0
Retail - not cars,5.0,0.0,0.0,0.0,1.0,0.0,10.0,2.0,0.0,1.0,2.0,4.0,2.0,0.0,11.0,0.0,7.0,4.0,3.0,2.0,6.0,7.0,4.0,2.0,0.0,1.0,0.0,5.0,1.0,0.0,3.0,0.0,4.0,15.0,9.0,51.0,971.0,11.0,2.0,0.0,6.0,9.0,3.0,6.0,0.0,0.0,0.0,182.0,4.0,0.0,5.0,3.0,3.0,0.0,11.0,6.0,52.0,8.0,0.0,4.0,30.0,0.0,19.0,0.0,0.0,0.0,10.0,0.0,10.0,7.0,6.0,0.0,5.0,5.0,3.0,6.0,3.0,0.0,1.0,0.0
